,Title,Description,Type,Geography,Geography Code,Frameworks,Keywords,Events
958,Forest Law,Recognises the role of forests in mitigating the greenhouse effect and their favourable impact on the climate; stipulates assessment of the impact of climate change on forests and forest land.,legislative,Croatia,HRV,,"Redd+ And Lulucf, Institutions / Administrative Arrangements",17/11/2005 | Law passed
959,Regulation on the internal organization of the Ministry of Environment and Nature,"Establishes a Department for climate activities and sustainable development and tasks it with monitoring GHG emissions, and preparation and implementation of measures to mitigate and adapt to climate change.",executive,Croatia,HRV,,Institutions / Administrative Arrangements,23/01/2014 | Law passed
960,Act for the Protection and Improvement of the Environment,"Refers to the importance of renewable energy. No specific reference to climate change, greenhouse gases, etc.",legislative,Iraq,IRQ,,Energy Supply,13/12/2009 | Law passed
961,Environmental Protection Act,"There are numerous regulations and decrees promulgated under this act, for example the Decree on environmental tax on carbon dioxide emissions 2013, the Regulation on data of activities and emissions of greenhouse gases for installations included in the scheme for greenhouse gas emission allowance trading 2011 and the Regulation on greenhouse gases, activities and facilities which are required to obtain a permit to emit greenhouse gases and monitoring of greenhouse gas emissions 2010.",legislative,Slovenia,SVN,Adaptation,"Transportation, Research And Development, Institutions / Administrative Arrangements, Energy Supply, Energy Demand, Carbon Pricing",04/04/2006 | Law passed
962,Energy Act (Energetski zakon; EZ-1),"This Act promotes renewable energy and recognises the role of energy policy in reducing GHG emissions. It replaces the 2005 Energy Act.

subsidies for facilities producing electricity from renewable energy sources and cogeneration plants",legislative,Slovenia,SVN,,"Research And Development, Institutions / Administrative Arrangements, Energy Supply, Energy Demand",04/03/2014 | Law passed
963,Regulation on Forest Protection,Promulgated under the Forests Act 1993 (which is non-climate legislation). Has numerous references to climate change adaptation and mitigation and measures related thereto.,executive,Slovenia,SVN,,Adaptation,28/12/2009 | Law passed
964,Constitution of the Republic of Tunisia,"""The state guarantees the right to a healthy and balanced environment and the right to participate in the protection of the climate.""",legislative,Tunisia,TUN,No,Institutions / Administrative Arrangements,27/01/2014 | Law passed
965,Law Relating to the Generation of Renewable Energy,This law sets the legal framework for the realisation of renewable energy projects at the local scale and for export purposes. Art. 3 charges the Ministry responsible for Energy to develop a national plan of the electricity generation from renewable energies. The law details the technical and administrative rules to practically organise the market.,executive,Tunisia,TUN,,"Energy Supply, Energy Demand",11/05/2015 | Law passed
966,Decree establishing the powers of the national Renewable Energy Agency,The Agency's responsibilities include mitigation of GHG emissions and developing a GHG inventory.,executive,Tunisia,TUN,,Institutions / Administrative Arrangements,26/04/2004 | Law passed
967,National Sustainable Development Strategy,Refers to climate change and the greenhouse effect.,executive,Tunisia,TUN,,Institutions / Administrative Arrangements,25/12/2007 | Law passed
968,National Forest Program,Refers to the beneficial effect of forests on climate change mitigation.,executive,Slovenia,SVN,No,Redd+ And Lulucf,20/11/2007 | Law passed
969,National Energy Policy & Strategies of Sri Lanka,"Seeks to promote economically viable, environment friendly, non-conventional renewable energy resources.",executive,Sri Lanka,LKA,,"Transportation, Research And Development, Institutions / Administrative Arrangements, Energy Supply, Energy Demand, Carbon Pricing",11/05/2008 | Law passed
970,Sri Lanka Energy Sector Development Plan for a Knowledge-based Economy 2015-2025,Strategies include reducing the carbon footprint of energy sector to address global warming and climate change impacts. Emphasis on renewables and energy efficiency.,executive,Sri Lanka,LKA,,"Transportation, Research And Development, Institutions / Administrative Arrangements, Energy Supply, Energy Demand",31/03/2015 | Law passed
971,National Action Plan for Haritha Lanka Programme,"One of the plan's missions is titled ""Meeting the Challenges of Climate Change"", and includes plans to:<br />
1. Establish country specific policies and action plans to counter adverse climate change impacts.<br />
2. Promote the use of economically viable, environment friendly, renewable energy resources, with emphasis on non-conventional energy resources.<br />
3. Optimize energy consumption through energy efficiency in enterprises and promoting substitution of fossil fuels by renewable energies in economic and production sectors.<br />
4. Promote supply side & end use energy efficiency.<br />
5. Promote carbon sequestration.<br />
6. Promote Integrated waste management.<br />
7. Identify Infrastructure vulnerability to climate change.<br />
8. Ensure that land use zoning reduces vulnerability to adverse impacts of climate change.<br />
9. Make rain water harvesting at site level mandatory.<br />
10. Take adaptive measures expecting an increase of vectors.<br />
11. Establish Food Security in the face of climate change threats.<br />
12. Develop and adopt energy saving technologies in agriculture",executive,Sri Lanka,LKA,,"Transportation, Research And Development, Institutions / Administrative Arrangements, Energy Supply, Energy Demand, Adaptation",01/09/2019 | Law passed
